person_id,first_name,last_name,date_of_birth,gender,phone_number,blood_group,marital_status,status,family_id,father_id,mother_id
507615,Baby507615,Bobal,2026-09-13,F,,A+,SINGLE,ALIVE,84808,409761,409762
507616,Baby507616,Rana,2026-11-17,F,,AB-,SINGLE,ALIVE,5991,28903,28904
507617,Baby507617,Sunder,2026-08-15,F,,O+,SINGLE,ALIVE,51709,249729,249731
507618,Baby507618,Lalla,2026-08-28,F,,O+,SINGLE,ALIVE,64175,310188,310193
507619,Baby507619,Sura,2026-06-30,F,,O-,SINGLE,ALIVE,23199,111729,111733
507620,Baby507620,Goel,2026-11-17,M,,A-,SINGLE,ALIVE,3937,18939,18940
507621,Baby507621,Khare,2027-01-31,F,,AB+,SINGLE,ALIVE,53788,259968,259969
507622,Baby507622,Ramachandran,2026-11-12,M,,AB+,SINGLE,ALIVE,68217,329829,329830
507623,Baby507623,Pau,2026-08-31,F,,A-,SINGLE,ALIVE,50613,244301,244302
507624,Baby507624,Deo,2026-08-28,F,,B-,SINGLE,ALIVE,79869,385952,385953
507625,Baby507625,Butala,2026-08-03,F,,A-,SINGLE,ALIVE,34637,166991,166994
507626,Baby507626,Devan,2026-12-24,M,,B-,SINGLE,ALIVE,11458,55106,55107
507627,Baby507627,Kota,2026-11-24,M,,B+,SINGLE,ALIVE,49903,240868,240870
507628,Baby507628,Kumer,2026-12-02,F,,B+,SINGLE,ALIVE,8255,39718,39721
507629,Baby507629,Nanda,2027-02-12,M,,O+,SINGLE,ALIVE,1301,6257,6258
507630,Baby507630,Vala,2027-01-09,F,,A-,SINGLE,ALIVE,59799,289134,289135
507631,Baby507631,Batta,2026-09-14,F,,A-,SINGLE,ALIVE,75898,366791,366792
507632,Baby507632,Deshmukh,2026-12-22,M,,AB-,SINGLE,ALIVE,5406,26034,26035
507633,Baby507633,Shah,2026-09-03,M,,AB+,SINGLE,ALIVE,75050,362782,362788
507634,Baby507634,Sidhu,2026-07-28,F,,AB-,SINGLE,ALIVE,25152,121137,121141
507635,Baby507635,Tripathi,2026-12-03,F,,AB+,SINGLE,ALIVE,6654,32061,32062
507636,Baby507636,Acharya,2027-01-14,F,,B-,SINGLE,ALIVE,61983,299705,299706
507637,Baby507637,Ram,2027-03-12,M,,A-,SINGLE,ALIVE,12260,58926,58927
507638,Baby507638,Chakrabarti,2027-01-03,F,,B+,SINGLE,ALIVE,80417,388600,388603
507639,Baby507639,Patla,2026-11-27,F,,O+,SINGLE,ALIVE,39654,191276,191277
507640,Baby507640,Bawa,2026-07-09,M,,O+,SINGLE,ALIVE,92707,448049,448050
507641,Baby507641,Mann,2026-06-15,F,,A+,SINGLE,ALIVE,15739,75736,75737
507642,Baby507642,Kamdar,2026-11-26,M,,O+,SINGLE,ALIVE,14912,71751,71752
507643,Baby507643,Shere,2027-02-02,F,,B+,SINGLE,ALIVE,34544,166541,166543
507644,Baby507644,Vig,2026-12-16,F,,O+,SINGLE,ALIVE,39609,191068,191069
507645,Baby507645,Bali,2026-07-05,M,,B-,SINGLE,ALIVE,58803,284255,284256
507646,Baby507646,Srivastava,2026-08-27,F,,AB-,SINGLE,ALIVE,62794,303604,303605
507647,Baby507647,Saxena,2027-01-20,M,,B+,SINGLE,ALIVE,93906,453904,453909
507648,Baby507648,Kala,2026-07-04,F,,B+,SINGLE,ALIVE,54923,265448,265449
507649,Baby507649,Dhaliwal,2026-09-12,M,,AB-,SINGLE,ALIVE,35624,171802,171803
507650,Baby507650,Sarin,2026-10-23,M,,AB+,SINGLE,ALIVE,69892,337839,337840
507651,Baby507651,Chakrabarti,2027-03-13,F,,O+,SINGLE,ALIVE,12492,60052,60053
507652,Baby507652,Mohanty,2027-01-27,F,,O-,SINGLE,ALIVE,49476,238863,238867
507653,Baby507653,Sani,2027-02-06,M,,O-,SINGLE,ALIVE,76108,367811,367812
507654,Baby507654,Raval,2026-09-05,M,,O-,SINGLE,ALIVE,70940,342923,342924
507655,Baby507655,Bajwa,2027-02-17,M,,B-,SINGLE,ALIVE,63471,306809,306811
507656,Baby507656,Bhargava,2026-10-31,M,,B+,SINGLE,ALIVE,36262,174910,174911
507657,Baby507657,Mitter,2026-07-07,M,,A-,SINGLE,ALIVE,3850,18532,18535
507658,Baby507658,Lall,2026-09-21,F,,B+,SINGLE,ALIVE,51938,250846,250847
507659,Baby507659,Dyal,2026-12-27,M,,B-,SINGLE,ALIVE,22145,106758,106759
507660,Baby507660,Malhotra,2026-08-05,M,,O+,SINGLE,ALIVE,64219,310400,310402
507661,Baby507661,Sahota,2026-12-02,F,,B-,SINGLE,ALIVE,1989,9556,9558
507662,Baby507662,Dewan,2026-09-04,M,,B-,SINGLE,ALIVE,36687,176944,176945
507663,Baby507663,Kari,2027-01-17,F,,O-,SINGLE,ALIVE,51652,249460,249462
507664,Baby507664,Maharaj,2026-11-02,M,,O-,SINGLE,ALIVE,34937,168447,168449
507665,Baby507665,Chaudhuri,2027-03-12,F,,AB-,SINGLE,ALIVE,51898,250657,250659
507666,Baby507666,Vala,2027-02-18,F,,A-,SINGLE,ALIVE,68894,333086,333087
507667,Baby507667,Ratti,2026-08-09,M,,B-,SINGLE,ALIVE,45782,220951,220955
507668,Baby507668,Halder,2027-01-11,M,,AB+,SINGLE,ALIVE,9068,43609,43610
507669,Baby507669,Hora,2026-10-26,M,,B+,SINGLE,ALIVE,749,3621,3622
507670,Baby507670,Reddy,2026-12-19,F,,O+,SINGLE,ALIVE,33545,161688,161692
507671,Baby507671,Mane,2026-07-28,M,,O+,SINGLE,ALIVE,34341,165555,165561
507672,Baby507672,Pai,2026-10-18,M,,O-,SINGLE,ALIVE,40140,193664,193665
507673,Baby507673,Ray,2026-07-01,F,,A+,SINGLE,ALIVE,66077,319377,319381
507674,Baby507674,Khare,2027-02-16,F,,O-,SINGLE,ALIVE,75150,363269,363270
507675,Baby507675,Mukherjee,2026-09-10,M,,B+,SINGLE,ALIVE,91757,443455,443460
507676,Baby507676,Kumar,2026-07-17,F,,O+,SINGLE,ALIVE,59450,287377,287379
507677,Baby507677,Swamy,2026-11-22,M,,A-,SINGLE,ALIVE,92267,445944,445947
507678,Baby507678,Sani,2027-03-08,M,,O-,SINGLE,ALIVE,75988,367231,367233
507679,Baby507679,Balan,2026-09-06,F,,O-,SINGLE,ALIVE,97975,473540,473541
507680,Baby507680,Shroff,2026-12-06,F,,O-,SINGLE,ALIVE,96909,468378,468380
507681,Baby507681,Nagarajan,2026-08-01,M,,AB+,SINGLE,ALIVE,85152,411472,411474
507682,Baby507682,Parekh,2027-01-15,F,,O-,SINGLE,ALIVE,47576,229613,229614
507683,Baby507683,Raval,2026-10-23,M,,O-,SINGLE,ALIVE,18483,88959,88963
507684,Baby507684,Madan,2026-06-13,M,,B+,SINGLE,ALIVE,638,3083,3084
507685,Baby507685,Bakshi,2026-08-27,F,,AB+,SINGLE,ALIVE,75475,364806,364811
507686,Baby507686,Choudhury,2026-07-06,M,,A-,SINGLE,ALIVE,647,3126,3127
507687,Baby507687,Lalla,2027-01-10,F,,AB+,SINGLE,ALIVE,4445,21382,21383
507688,Baby507688,Thakur,2026-12-07,M,,B-,SINGLE,ALIVE,97772,472574,472575
507689,Baby507689,Dash,2026-06-08,M,,O-,SINGLE,ALIVE,23320,112314,112315
507690,Baby507690,Hora,2026-07-19,F,,O-,SINGLE,ALIVE,101262,489492,489493
507691,Baby507691,Anand,2027-01-01,F,,AB-,SINGLE,ALIVE,39725,191636,191641
507692,Baby507692,Venkataraman,2027-03-11,M,,O+,SINGLE,ALIVE,10172,48881,48882
507693,Baby507693,Bali,2026-09-07,M,,B-,SINGLE,ALIVE,31753,153096,153102
507694,Baby507694,Kibe,2026-10-23,M,,AB+,SINGLE,ALIVE,70737,341954,341955
507695,Baby507695,Dar,2026-10-02,F,,AB+,SINGLE,ALIVE,14232,68455,68456
507696,Baby507696,Wable,2026-07-19,F,,O-,SINGLE,ALIVE,35034,168921,168923
507697,Baby507697,Lad,2027-01-12,F,,A+,SINGLE,ALIVE,925,4438,4439
507698,Baby507698,Chandran,2026-06-19,F,,O+,SINGLE,ALIVE,39195,189078,189079
507699,Baby507699,Wali,2027-01-11,M,,A-,SINGLE,ALIVE,75033,362702,362703
507700,Baby507700,Gara,2027-03-07,M,,B+,SINGLE,ALIVE,68997,333560,333561
507701,Baby507701,Banerjee,2026-10-06,F,,AB+,SINGLE,ALIVE,86225,416679,416680
507702,Baby507702,Garg,2026-12-19,M,,AB+,SINGLE,ALIVE,65638,317257,317258
507703,Baby507703,Dhawan,2026-06-24,F,,A+,SINGLE,ALIVE,48991,236490,236491
507704,Baby507704,Saxena,2026-09-30,F,,AB-,SINGLE,ALIVE,20693,99774,99775
507705,Baby507705,Nazareth,2026-07-16,F,,AB+,SINGLE,ALIVE,79036,381951,381952
507706,Baby507706,Yohannan,2027-01-29,M,,O-,SINGLE,ALIVE,37623,181515,181518
507707,Baby507707,Wagle,2026-09-10,M,,A-,SINGLE,ALIVE,14195,68270,68271
507708,Baby507708,Mander,2027-02-04,M,,B-,SINGLE,ALIVE,47703,230235,230236
507709,Baby507709,Oza,2026-07-01,M,,B+,SINGLE,ALIVE,92404,446597,446598
507710,Baby507710,Lala,2026-10-11,F,,O-,SINGLE,ALIVE,102605,495991,495993
507711,Baby507711,Bera,2026-07-23,M,,B-,SINGLE,ALIVE,84905,410238,410243
507712,Baby507712,Bhatti,2026-09-01,F,,O-,SINGLE,ALIVE,28154,135687,135688
507713,Baby507713,Dasgupta,2026-08-01,F,,AB-,SINGLE,ALIVE,94753,457932,457933
507714,Baby507714,Rege,2026-06-23,F,,AB-,SINGLE,ALIVE,92070,445000,445001
507715,Baby507715,Oak,2026-08-09,F,,B-,SINGLE,ALIVE,40741,196569,196570
507716,Baby507716,Dhaliwal,2026-07-06,M,,O+,SINGLE,ALIVE,42451,204813,204815
507717,Baby507717,Konda,2027-01-26,M,,AB+,SINGLE,ALIVE,83702,404412,404413
507718,Baby507718,Thaman,2027-03-05,M,,B-,SINGLE,ALIVE,78265,378232,378237
507719,Baby507719,Sharaf,2026-06-11,F,,B+,SINGLE,ALIVE,9632,46312,46317
507720,Baby507720,Aurora,2026-10-10,F,,A-,SINGLE,ALIVE,16983,81685,81686
507721,Baby507721,Ranganathan,2026-07-24,F,,B+,SINGLE,ALIVE,93046,449729,449730
507722,Baby507722,Patla,2026-08-01,F,,A-,SINGLE,ALIVE,11309,54347,54349
507723,Baby507723,Jayaraman,2026-07-27,F,,B+,SINGLE,ALIVE,47987,231611,231612
507724,Baby507724,Bains,2026-06-15,M,,AB+,SINGLE,ALIVE,104984,507489,507493
507725,Baby507725,Sanghvi,2026-07-02,F,,B+,SINGLE,ALIVE,84456,408097,408098
507726,Baby507726,Minhas,2026-09-04,F,,O-,SINGLE,ALIVE,81470,393637,393640
507727,Baby507727,Bawa,2026-09-22,M,,A-,SINGLE,ALIVE,104952,507343,507345
507728,Baby507728,Srinivas,2026-07-15,M,,AB+,SINGLE,ALIVE,30319,146242,146247
507729,Baby507729,Yohannan,2026-10-03,M,,AB+,SINGLE,ALIVE,7761,37339,37340
507730,Baby507730,Dora,2026-12-10,F,,A-,SINGLE,ALIVE,3595,17331,17335
507731,Baby507731,Thakkar,2027-03-09,M,,B+,SINGLE,ALIVE,49170,237358,237359
507732,Baby507732,Sridhar,2027-03-12,F,,AB-,SINGLE,ALIVE,42852,206792,206793
507733,Baby507733,Ramesh,2026-07-12,M,,B+,SINGLE,ALIVE,14278,68681,68682
507734,Baby507734,Sen,2027-02-08,F,,AB-,SINGLE,ALIVE,50059,241628,241632
507735,Baby507735,Koshy,2026-11-24,F,,A+,SINGLE,ALIVE,45747,220780,220781
507736,Baby507736,Wadhwa,2026-12-01,M,,B+,SINGLE,ALIVE,74146,358365,358366
507737,Baby507737,Dass,2026-11-06,F,,AB+,SINGLE,ALIVE,88899,429712,429713
507738,Baby507738,Bumb,2026-09-21,M,,AB-,SINGLE,ALIVE,100677,486630,486635
507739,Baby507739,Nori,2026-07-02,M,,O+,SINGLE,ALIVE,56980,275496,275498
507740,Baby507740,Joshi,2026-11-02,M,,A-,SINGLE,ALIVE,29144,140522,140523
507741,Baby507741,Dar,2026-10-25,M,,A+,SINGLE,ALIVE,59292,286624,286625
507742,Baby507742,Sharaf,2027-02-20,F,,A-,SINGLE,ALIVE,15206,73159,73160
507743,Baby507743,Shan,2027-03-11,M,,A+,SINGLE,ALIVE,53024,256208,256209
507744,Baby507744,Kaur,2027-01-13,M,,A+,SINGLE,ALIVE,58267,281726,281729
507745,Baby507745,Varty,2027-02-19,M,,B+,SINGLE,ALIVE,84802,409741,409742
507746,Baby507746,Shere,2026-12-02,F,,O-,SINGLE,ALIVE,88845,429448,429449
507747,Baby507747,Aggarwal,2026-09-17,M,,A-,SINGLE,ALIVE,100392,485231,485232
507748,Baby507748,Boase,2026-09-20,M,,AB+,SINGLE,ALIVE,79001,381788,381789
507749,Baby507749,Kota,2026-08-08,M,,AB+,SINGLE,ALIVE,73200,353806,353807
507750,Baby507750,Sarna,2026-06-10,F,,AB+,SINGLE,ALIVE,91778,443566,443567
507751,Baby507751,Som,2026-08-05,M,,AB-,SINGLE,ALIVE,35111,169293,169295
507752,Baby507752,Edwin,2026-07-27,F,,AB+,SINGLE,ALIVE,94881,458509,458510
507753,Baby507753,Ray,2026-08-18,F,,AB+,SINGLE,ALIVE,21425,103281,103282
507754,Baby507754,Swamy,2026-06-23,F,,O-,SINGLE,ALIVE,15988,76914,76915
507755,Baby507755,Bhardwaj,2026-07-24,F,,A+,SINGLE,ALIVE,81689,394717,394718
507756,Baby507756,Dubey,2026-08-16,M,,AB-,SINGLE,ALIVE,54727,264503,264506
507757,Baby507757,Manne,2026-07-21,M,,A+,SINGLE,ALIVE,93661,452709,452710
507758,Baby507758,Shetty,2026-10-27,M,,O-,SINGLE,ALIVE,86,410,411
507759,Baby507759,Khanna,2026-09-20,F,,A-,SINGLE,ALIVE,28786,138785,138787
507760,Baby507760,Sachdev,2026-07-20,F,,O+,SINGLE,ALIVE,32814,158163,158168
507761,Baby507761,Tandon,2027-02-14,M,,B-,SINGLE,ALIVE,30928,149137,149138
507762,Baby507762,Chakrabarti,2027-03-11,F,,B-,SINGLE,ALIVE,78480,379301,379302
507763,Baby507763,Kapur,2026-09-16,F,,O-,SINGLE,ALIVE,20619,99405,99406
507764,Baby507764,Pandey,2026-08-29,M,,B-,SINGLE,ALIVE,79656,384920,384921
507765,Baby507765,Sarma,2026-12-08,F,,B-,SINGLE,ALIVE,77018,372187,372188
507766,Baby507766,Krish,2026-08-18,M,,AB-,SINGLE,ALIVE,66179,319867,319869
507767,Baby507767,Contractor,2027-03-13,F,,O-,SINGLE,ALIVE,98611,476616,476617
507768,Baby507768,Shetty,2026-12-12,M,,B-,SINGLE,ALIVE,6288,30300,30301
507769,Baby507769,Upadhyay,2026-11-11,M,,B-,SINGLE,ALIVE,54595,263848,263850
507770,Baby507770,Roy,2026-10-16,M,,AB+,SINGLE,ALIVE,87238,421585,421587
507771,Baby507771,Nayak,2026-10-24,M,,A-,SINGLE,ALIVE,57072,275952,275956
507772,Baby507772,Pal,2027-03-04,M,,B+,SINGLE,ALIVE,26920,129727,129728
507773,Baby507773,Sant,2026-12-21,F,,B+,SINGLE,ALIVE,49539,239141,239142
507774,Baby507774,Kade,2026-12-05,M,,AB-,SINGLE,ALIVE,84614,408869,408870
507775,Baby507775,Pandit,2026-10-17,F,,B-,SINGLE,ALIVE,41401,199744,199746
507776,Baby507776,Sandal,2026-12-03,M,,A+,SINGLE,ALIVE,102703,496456,496457
507777,Baby507777,Vora,2026-08-03,M,,B-,SINGLE,ALIVE,57329,277197,277198
507778,Baby507778,Choudhary,2026-08-26,F,,B+,SINGLE,ALIVE,83219,402102,402103
507779,Baby507779,Ramakrishnan,2026-06-12,F,,B-,SINGLE,ALIVE,8918,42897,42898
507780,Baby507780,Dhillon,2027-01-19,F,,A-,SINGLE,ALIVE,36409,175612,175613
507781,Baby507781,Pandya,2026-12-21,F,,O+,SINGLE,ALIVE,74215,358707,358711
507782,Baby507782,Wadhwa,2026-08-10,F,,A-,SINGLE,ALIVE,38692,186651,186652
507783,Baby507783,Ratti,2027-01-22,F,,O-,SINGLE,ALIVE,10151,48780,48782
507784,Baby507784,Yohannan,2026-07-08,M,,A-,SINGLE,ALIVE,31196,150412,150413
507785,Baby507785,Prashad,2026-10-30,M,,O+,SINGLE,ALIVE,54906,265369,265370
507786,Baby507786,Kale,2026-07-13,M,,A+,SINGLE,ALIVE,102067,493365,493367
507787,Baby507787,Sekhon,2026-06-14,M,,A+,SINGLE,ALIVE,89323,431746,431747
507788,Baby507788,Goel,2026-09-13,F,,A-,SINGLE,ALIVE,102400,494989,494994
507789,Baby507789,Lanka,2026-08-25,M,,AB+,SINGLE,ALIVE,65552,316863,316864
507790,Baby507790,Mital,2026-12-07,F,,AB-,SINGLE,ALIVE,90319,436479,436480
507791,Baby507791,Koshy,2027-01-26,F,,A+,SINGLE,ALIVE,41441,199925,199926
507792,Baby507792,Pradhan,2027-01-30,M,,AB+,SINGLE,ALIVE,67488,326311,326312
507793,Baby507793,Deep,2027-01-11,F,,B-,SINGLE,ALIVE,97103,469335,469338
507794,Baby507794,Borra,2026-11-27,F,,O+,SINGLE,ALIVE,64454,311577,311578
507795,Baby507795,Narayan,2027-01-25,F,,O+,SINGLE,ALIVE,43184,208411,208412
507796,Baby507796,Jayaraman,2027-01-29,F,,O-,SINGLE,ALIVE,74257,358931,358932
507797,Baby507797,Naidu,2026-09-03,M,,AB-,SINGLE,ALIVE,8895,42779,42780
507798,Baby507798,Rastogi,2026-07-13,M,,A-,SINGLE,ALIVE,44978,217042,217046
507799,Baby507799,Srinivasan,2026-11-18,F,,AB+,SINGLE,ALIVE,29338,141488,141489
507800,Baby507800,Jha,2026-11-11,F,,AB+,SINGLE,ALIVE,59552,287896,287897
507801,Baby507801,Saran,2026-08-19,F,,AB-,SINGLE,ALIVE,69509,336027,336029
507802,Baby507802,D’Alia,2027-01-06,F,,O+,SINGLE,ALIVE,50745,244996,244997
507803,Baby507803,Mahal,2027-03-07,M,,AB+,SINGLE,ALIVE,75782,366268,366269
507804,Baby507804,Mahal,2026-10-22,M,,A-,SINGLE,ALIVE,43236,208664,208665
507805,Baby507805,Handa,2026-11-13,F,,A+,SINGLE,ALIVE,39052,188381,188382
507806,Baby507806,Nagarajan,2026-10-04,F,,A-,SINGLE,ALIVE,103895,502203,502207
507807,Baby507807,Menon,2026-12-13,M,,AB-,SINGLE,ALIVE,44329,213979,213982
507808,Baby507808,Hans,2026-07-16,F,,AB-,SINGLE,ALIVE,90044,435159,435160
507809,Baby507809,Oommen,2027-02-26,M,,AB+,SINGLE,ALIVE,99915,482904,482905
507810,Baby507810,Jaggi,2026-10-03,F,,B-,SINGLE,ALIVE,41683,201103,201104
507811,Baby507811,Lala,2027-02-10,F,,O+,SINGLE,ALIVE,34163,164677,164678
507812,Baby507812,Chadha,2026-07-06,M,,A-,SINGLE,ALIVE,25336,122067,122069
507813,Baby507813,Keer,2026-09-12,F,,A-,SINGLE,ALIVE,61995,299762,299763
507814,Baby507814,Anand,2026-06-13,M,,A-,SINGLE,ALIVE,12853,61790,61791
507815,Baby507815,Baria,2026-10-17,M,,B-,SINGLE,ALIVE,82070,396536,396537
507816,Baby507816,Seth,2026-10-26,F,,B+,SINGLE,ALIVE,54481,263286,263287
507817,Baby507817,Chana,2027-03-05,F,,O+,SINGLE,ALIVE,92773,448382,448383
507818,Baby507818,Dhingra,2026-09-22,F,,A-,SINGLE,ALIVE,80247,387789,387790
507819,Baby507819,Gandhi,2026-06-30,M,,AB-,SINGLE,ALIVE,34639,167001,167006
507820,Baby507820,Naidu,2026-11-06,M,,AB-,SINGLE,ALIVE,10676,51310,51315
507821,Baby507821,Borde,2027-01-12,M,,O-,SINGLE,ALIVE,97383,470692,470694
507822,Baby507822,Gole,2027-02-26,M,,O+,SINGLE,ALIVE,70957,343019,343022
507823,Baby507823,Sahni,2026-06-11,M,,A+,SINGLE,ALIVE,53969,260825,260826
507824,Baby507824,Handa,2026-11-04,F,,B+,SINGLE,ALIVE,38593,186155,186157
507825,Baby507825,Bajaj,2026-08-12,M,,B+,SINGLE,ALIVE,16338,78586,78587
507826,Baby507826,Deshmukh,2027-02-19,M,,A-,SINGLE,ALIVE,62276,301101,301103
507827,Baby507827,Khatri,2026-12-30,M,,O+,SINGLE,ALIVE,64103,309866,309867
507828,Baby507828,Mital,2026-07-23,F,,A+,SINGLE,ALIVE,83043,401264,401269
507829,Baby507829,Vala,2026-10-27,F,,O+,SINGLE,ALIVE,14971,72042,72043
507830,Baby507830,Edwin,2026-09-03,F,,AB+,SINGLE,ALIVE,29121,140403,140405
507831,Baby507831,Setty,2027-01-22,M,,A-,SINGLE,ALIVE,3322,16021,16022
507832,Baby507832,Sha,2026-06-22,F,,A-,SINGLE,ALIVE,15876,76402,76406
507833,Baby507833,Andra,2026-09-06,M,,O+,SINGLE,ALIVE,25575,123226,123229
507834,Baby507834,Varghese,2026-11-09,M,,B-,SINGLE,ALIVE,45933,221653,221655
507835,Baby507835,Raman,2027-03-01,F,,B-,SINGLE,ALIVE,74838,361756,361757
507836,Baby507836,De,2026-12-22,F,,AB-,SINGLE,ALIVE,28767,138696,138697
507837,Baby507837,Memon,2026-12-29,M,,O+,SINGLE,ALIVE,20132,97055,97056
507838,Baby507838,Raval,2026-12-03,F,,AB-,SINGLE,ALIVE,55257,267068,267071
507839,Baby507839,Sibal,2026-10-14,F,,B+,SINGLE,ALIVE,35447,170931,170932
507840,Baby507840,Salvi,2026-08-03,F,,AB+,SINGLE,ALIVE,99482,480837,480841
507841,Baby507841,Chaudhary,2027-01-22,F,,O+,SINGLE,ALIVE,78141,377592,377593
507842,Baby507842,Choudhry,2027-03-02,M,,B+,SINGLE,ALIVE,36740,177225,177230
507843,Baby507843,Kaur,2026-08-16,F,,O-,SINGLE,ALIVE,81581,394181,394182
507844,Baby507844,Konda,2026-07-31,M,,B+,SINGLE,ALIVE,82957,400841,400842
507845,Baby507845,Som,2026-06-22,M,,B-,SINGLE,ALIVE,66050,319230,319232
507846,Baby507846,Saini,2026-08-26,M,,AB-,SINGLE,ALIVE,92315,446173,446174
