asha_id,employee_code,first_name,last_name,phone_number,date_of_joining,status,area_id
56,ASHA0056,Ayaan,Korpal,8489554759,2011-10-26,ACTIVE,56
57,ASHA0057,Ikshita,Chakraborty,8867363993,2015-08-24,ACTIVE,57
58,ASHA0058,Hamsini,Chander,8286628477,2022-04-07,ACTIVE,58
59,ASHA0059,Damini,Dewan,8813386275,2020-01-20,ACTIVE,59
60,ASHA0060,Lavanya,Rout,8745044985,2012-04-07,ACTIVE,60
61,ASHA0061,Abeer,Sehgal,8226490161,2013-08-16,ACTIVE,61
62,ASHA0062,Ucchal,Kota,8448174356,2019-10-03,ACTIVE,62
63,ASHA0063,Hamsini,Sachar,8155377627,2020-01-10,ACTIVE,63
64,ASHA0064,Meghana,Gopal,8402749357,2018-02-24,ACTIVE,64
65,ASHA0065,Aadhya,Ganesh,8814293451,2017-01-08,INACTIVE,65
66,ASHA0066,Chakradev,Minhas,8208801623,2011-11-19,ACTIVE,66
67,ASHA0067,Lekha,Dyal,8546667286,2023-03-13,ACTIVE,67
68,ASHA0068,Samaksh,Ghosh,8199514053,2012-04-05,ACTIVE,68
69,ASHA0069,Ekansh,Lanka,8687626564,2012-12-03,ACTIVE,69
70,ASHA0070,Vidhi,Bose,8530682473,2014-01-14,ACTIVE,70
71,ASHA0071,Kamala,Narain,8906857002,2020-05-20,ACTIVE,71
72,ASHA0072,Ayaan,Nair,8304657805,2014-07-26,ACTIVE,72
73,ASHA0073,Gabriel,Konda,8728700306,2018-12-19,ACTIVE,73
74,ASHA0074,Mohammed,Dube,8479026301,2012-05-21,TRANSFERRED,74
75,ASHA0075,Fariq,Rege,8104313084,2022-01-01,ACTIVE,75
76,ASHA0076,Vanya,Bose,8349415380,2019-01-30,ACTIVE,76
77,ASHA0077,Imaran,Pillay,8627868488,2013-01-22,ACTIVE,77
78,ASHA0078,Lila,Rajagopalan,8544435294,2021-10-02,ACTIVE,78
79,ASHA0079,Tanish,Chaudhary,8243941731,2019-06-30,ACTIVE,79
80,ASHA0080,Hema,Pandey,8684426290,2022-06-16,ACTIVE,80
81,ASHA0081,Frederick,Master,8694179749,2023-01-05,ACTIVE,81
82,ASHA0082,Balendra,Bumb,8114002085,2023-01-03,ACTIVE,82
83,ASHA0083,Meera,Bhatia,8437064589,2018-01-26,ACTIVE,83
84,ASHA0084,Ikbal,Nori,8773805535,2014-01-24,ACTIVE,84
85,ASHA0085,Raghav,Master,8977902862,2023-03-30,ACTIVE,85
86,ASHA0086,Benjamin,Hegde,8210524280,2014-02-25,ACTIVE,86
87,ASHA0087,Nachiket,Ranganathan,8745379964,2023-11-24,ACTIVE,87
88,ASHA0088,Damyanti,Walia,8557732661,2018-04-22,ACTIVE,88
89,ASHA0089,Amruta,Handa,8840119435,2024-04-11,ACTIVE,89
90,ASHA0090,Nitesh,Nanda,8402403050,2016-06-10,ACTIVE,90
91,ASHA0091,Gautam,Tata,8669525851,2024-09-17,ACTIVE,91
92,ASHA0092,Lopa,Agarwal,8431109724,2013-07-15,ACTIVE,92
93,ASHA0093,Onveer,Sinha,8405280112,2025-02-14,ACTIVE,93
94,ASHA0094,Faqid,Sankar,8864608568,2012-04-08,ACTIVE,94
95,ASHA0095,Anay,Kar,8326111364,2016-06-27,ACTIVE,95
96,ASHA0096,Kabir,Chowdhury,8184957238,2022-01-09,ACTIVE,96
97,ASHA0097,Warda,Swamy,8228847150,2012-09-29,ACTIVE,97
98,ASHA0098,Ishani,Modi,8148161891,2018-08-25,ACTIVE,98
99,ASHA0099,Azad,Rastogi,8341428400,2025-03-17,ACTIVE,99
100,ASHA0100,Arunima,Choudhary,8962317098,2024-06-03,ACTIVE,100
101,ASHA0101,Chasmum,Bahl,8534125679,2014-04-20,TRANSFERRED,101
102,ASHA0102,Frado,Garg,8668300114,2022-07-07,ACTIVE,102
103,ASHA0103,Tanish,Maharaj,8750219200,2023-03-03,ACTIVE,103
104,ASHA0104,Gaurika,Kadakia,8126851883,2023-11-15,ACTIVE,104
105,ASHA0105,Damyanti,Kapur,8934315227,2014-01-25,RETIRED,105
106,ASHA0106,Devika,Khare,8345674076,2019-08-11,TRANSFERRED,106
107,ASHA0107,Ekavir,Chana,8609744639,2012-04-01,ACTIVE,107
108,ASHA0108,Kritika,Nadig,8546592453,2025-01-15,ACTIVE,108
109,ASHA0109,Vyanjana,Naik,8966248789,2016-03-31,TRANSFERRED,109
110,ASHA0110,Jasmit,Dixit,8459273441,2019-06-24,ACTIVE,110
111,ASHA0111,Widisha,Kara,8670357203,2012-03-29,ACTIVE,111
112,ASHA0112,Falan,Suresh,8769851865,2015-07-07,ACTIVE,112
113,ASHA0113,Hemani,Sahni,8994716978,2016-09-06,ACTIVE,113
114,ASHA0114,Bimala,Krishnan,8201704691,2016-11-05,ACTIVE,114
115,ASHA0115,Jagrati,Bhasin,8475462529,2017-02-26,ACTIVE,115
116,ASHA0116,Agastya,Doshi,8387857754,2016-11-25,ACTIVE,116
117,ASHA0117,Patrick,Kapadia,8855316760,2014-06-17,ACTIVE,117
118,ASHA0118,Sneha,Chawla,8175511518,2021-04-27,ACTIVE,118
119,ASHA0119,Nimrat,Din,8223997958,2017-11-29,ACTIVE,119
120,ASHA0120,Naveen,Basu,8145088354,2011-11-02,ACTIVE,120
121,ASHA0121,Ekani,Kanda,8303593684,2021-06-18,ACTIVE,121
122,ASHA0122,Yutika,Ganesan,8523783490,2018-02-19,ACTIVE,122
123,ASHA0123,Anthony,Sachdev,8741368534,2021-04-16,ACTIVE,123
124,ASHA0124,Bhavya,Brahmbhatt,8989015678,2021-01-27,ACTIVE,124
125,ASHA0125,Chakradhar,Prakash,8575354414,2024-04-28,ACTIVE,125
126,ASHA0126,Raksha,Palla,8694148235,2016-05-12,ACTIVE,126
127,ASHA0127,Anvi,Deep,8885500020,2020-11-17,ACTIVE,127
128,ASHA0128,Bachittar,Sachar,8291889443,2013-10-28,ACTIVE,128
129,ASHA0129,Aradhana,Varty,8505379981,2016-04-20,ACTIVE,129
130,ASHA0130,Abha,Khalsa,8942854781,2015-01-06,ACTIVE,130
131,ASHA0131,Widisha,Manda,8932974003,2024-03-13,ACTIVE,131
132,ASHA0132,Radha,Pant,8853143947,2012-08-13,ACTIVE,132
133,ASHA0133,Sai,Banik,8546371349,2022-08-03,ACTIVE,133
134,ASHA0134,Radhika,Sampath,8143052255,2019-07-11,TRANSFERRED,134
135,ASHA0135,Balveer,Mand,8294843544,2012-06-03,ACTIVE,135
136,ASHA0136,Abeer,Sami,8253462168,2015-02-18,TRANSFERRED,136
137,ASHA0137,Samesh,Sodhi,8968240098,2015-10-20,ACTIVE,137
138,ASHA0138,Jason,Yogi,8338902069,2015-11-20,ACTIVE,138
139,ASHA0139,Chameli,Dutt,8332043720,2025-02-08,ACTIVE,139
140,ASHA0140,Naveen,Narayanan,8589939628,2018-07-24,ACTIVE,140
141,ASHA0141,Chakradhar,Butala,8503591071,2024-09-22,ACTIVE,141
142,ASHA0142,Simon,Kulkarni,8868265456,2018-05-21,ACTIVE,142
143,ASHA0143,Eta,Singh,8657346529,2021-11-29,ACTIVE,143
144,ASHA0144,Nilima,Behl,8663468923,2017-04-10,ACTIVE,144
145,ASHA0145,Unni,Sha,8423614688,2024-02-08,INACTIVE,145
146,ASHA0146,Raghav,Sur,8112548479,2018-10-22,ACTIVE,146
147,ASHA0147,Krisha,Choudhry,8770833835,2012-05-26,ACTIVE,147
148,ASHA0148,Maya,Deshmukh,8729323864,2024-10-30,ACTIVE,148
149,ASHA0149,Sathvik,Murthy,8924190062,2017-12-06,ACTIVE,149
150,ASHA0150,Aishani,Kohli,8250649683,2014-08-18,ACTIVE,150
151,ASHA0151,Chakrika,Krishnamurthy,8756258917,2019-04-20,INACTIVE,151
152,ASHA0152,Dayita,Varty,8877830944,2015-09-13,INACTIVE,152
153,ASHA0153,Advay,Srinivasan,8514025445,2020-06-06,ACTIVE,153
154,ASHA0154,Niharika,Issac,8789526824,2016-06-25,ACTIVE,154
155,ASHA0155,Warhi,Borde,8766098713,2023-09-24,ACTIVE,155
156,ASHA0156,Jason,Sankaran,8149238592,2020-12-22,TRANSFERRED,156
157,ASHA0157,Megha,Chandra,8761341694,2023-10-11,ACTIVE,157
158,ASHA0158,Alka,Malhotra,8352155443,2012-02-22,ACTIVE,158
159,ASHA0159,Balhaar,Khare,8120615405,2014-08-18,ACTIVE,159
160,ASHA0160,Hredhaan,Char,8268070768,2013-11-15,ACTIVE,160
161,ASHA0161,Ekaraj,Bajaj,8664119845,2018-07-07,RETIRED,161
162,ASHA0162,Qushi,Nagy,8423220688,2012-05-07,ACTIVE,162
163,ASHA0163,Zaid,Banik,8252317178,2021-10-27,ACTIVE,163
164,ASHA0164,Samesh,Chopra,8877404292,2024-06-06,ACTIVE,164
165,ASHA0165,Devansh,Aggarwal,8317462392,2014-07-19,ACTIVE,165
166,ASHA0166,Simon,Anand,8305551287,2020-11-25,ACTIVE,166
167,ASHA0167,Kalpit,Mukherjee,8102459496,2018-06-02,TRANSFERRED,167
168,ASHA0168,Veda,Hayre,8222293037,2020-10-17,ACTIVE,168
169,ASHA0169,Elijah,Choudhry,8163346166,2019-12-16,ACTIVE,169
170,ASHA0170,Ishaan,Grewal,8259165800,2014-03-08,ACTIVE,170
171,ASHA0171,Viraj,Kara,8724380949,2024-11-21,RETIRED,171
172,ASHA0172,Idika,Kuruvilla,8538093052,2017-09-05,RETIRED,172
173,ASHA0173,Umang,Balasubramanian,8183491414,2025-01-07,ACTIVE,173
174,ASHA0174,Bishakha,Bansal,8577456262,2018-08-31,ACTIVE,174
175,ASHA0175,Chasmum,Palla,8316102617,2019-12-20,ACTIVE,175
176,ASHA0176,Yadavi,Prabhu,8862707635,2021-04-15,TRANSFERRED,176
177,ASHA0177,Rudra,Varghese,8536350571,2012-09-19,ACTIVE,177
178,ASHA0178,Dalaja,Vig,8782311977,2012-12-21,TRANSFERRED,178
179,ASHA0179,Chatresh,Sagar,8950853878,2016-10-17,ACTIVE,179
180,ASHA0180,Edhitha,Mohan,8305420352,2018-06-26,ACTIVE,180
181,ASHA0181,Leela,Barad,8948375731,2022-08-22,ACTIVE,181
182,ASHA0182,Qadim,Agate,8645398059,2023-08-11,ACTIVE,182
183,ASHA0183,Panini,Sathe,8782786328,2024-02-15,RETIRED,183
184,ASHA0184,Faqid,Thakkar,8656785547,2022-02-19,ACTIVE,184
185,ASHA0185,Panini,Sehgal,8969639543,2025-02-22,ACTIVE,185
186,ASHA0186,Ekanta,Dani,8202183842,2024-02-22,ACTIVE,186
187,ASHA0187,Rajeshri,Doshi,8304619826,2018-04-02,ACTIVE,187
188,ASHA0188,Alexander,Reddy,8368314508,2019-06-18,INACTIVE,188
189,ASHA0189,Aarav,Hayre,8126133255,2011-09-16,RETIRED,189
190,ASHA0190,Umang,Yadav,8132578832,2019-05-02,ACTIVE,190
191,ASHA0191,Dipta,Kaur,8731713483,2017-01-23,ACTIVE,191
192,ASHA0192,Abhiram,Sarma,8217635518,2019-06-08,ACTIVE,192
193,ASHA0193,Warjas,Ratta,8342977098,2014-12-25,ACTIVE,193
194,ASHA0194,Saumya,Balakrishnan,8382427704,2022-01-19,ACTIVE,194
195,ASHA0195,Lucky,Dave,8285185144,2016-04-11,ACTIVE,195
196,ASHA0196,Banjeet,Pradhan,8811092939,2020-10-25,ACTIVE,196
197,ASHA0197,Vedhika,Mangat,8454941490,2015-07-17,RETIRED,197
198,ASHA0198,Tripti,Swamy,8668612875,2012-12-11,ACTIVE,198
199,ASHA0199,Chaitaly,More,8722724272,2016-09-15,ACTIVE,199
200,ASHA0200,Dipta,Mand,8232817952,2020-09-08,ACTIVE,200
201,ASHA0201,Nakul,Dada,8490012380,2017-10-07,RETIRED,201
202,ASHA0202,Azad,Garde,8287938653,2012-08-26,ACTIVE,202
203,ASHA0203,Inaya,Morar,8907540160,2018-10-13,ACTIVE,203
204,ASHA0204,Isaac,Morar,8560643434,2012-08-13,ACTIVE,204
205,ASHA0205,Hema,Balan,8659420989,2012-09-30,ACTIVE,205
206,ASHA0206,Ijaya,Nazareth,8727642039,2012-03-10,ACTIVE,206
207,ASHA0207,Samuel,Trivedi,8290505097,2024-03-15,ACTIVE,207
208,ASHA0208,Lakshit,Shan,8473272128,2017-03-21,ACTIVE,208
209,ASHA0209,Yutika,Bath,8867218039,2021-09-10,ACTIVE,209
210,ASHA0210,Anvi,Kala,8149304844,2011-09-16,ACTIVE,210
211,ASHA0211,Nimrat,Kapur,8841594899,2013-11-17,ACTIVE,211
212,ASHA0212,Bhavya,Bhardwaj,8313567500,2024-07-25,ACTIVE,212
213,ASHA0213,Orinder,Nigam,8748411206,2018-06-15,ACTIVE,213
214,ASHA0214,Bhavya,Rana,8459519485,2021-03-30,ACTIVE,214
215,ASHA0215,Darika,Madan,8255656421,2024-08-24,ACTIVE,215
216,ASHA0216,Tristan,Chacko,8698093833,2022-01-05,ACTIVE,216
217,ASHA0217,Azaan,Oza,8481279940,2016-09-23,ACTIVE,217
218,ASHA0218,Qarin,Rattan,8362462035,2020-10-06,ACTIVE,218
219,ASHA0219,Krisha,Manne,8691526927,2016-06-08,ACTIVE,219
220,ASHA0220,Gagan,Kata,8589916720,2017-03-22,ACTIVE,220
221,ASHA0221,Chaman,Sami,8728399241,2014-02-19,ACTIVE,221
222,ASHA0222,Gautami,Shanker,8405762161,2022-01-30,RETIRED,222
223,ASHA0223,Libni,Amble,8139609288,2020-02-16,ACTIVE,223
224,ASHA0224,Bimala,Thakur,8135510591,2014-02-04,ACTIVE,224
225,ASHA0225,Ekiya,Vaidya,8273408623,2014-07-25,INACTIVE,225
226,ASHA0226,Harsh,Roy,8281196358,2018-07-18,ACTIVE,226
227,ASHA0227,Ijaya,Shankar,8670461889,2013-11-22,ACTIVE,227
228,ASHA0228,Lipika,Manne,8123062621,2018-11-04,ACTIVE,228
229,ASHA0229,Amara,Sachdeva,8208349625,2014-06-26,ACTIVE,229
230,ASHA0230,Falak,Gole,8111636804,2022-09-11,INACTIVE,230
231,ASHA0231,Vasana,Tata,8274490916,2022-02-25,ACTIVE,231
232,ASHA0232,Bhavini,Deshpande,8373835780,2025-02-15,ACTIVE,232
233,ASHA0233,Liam,Dua,8206055426,2022-06-21,ACTIVE,233
234,ASHA0234,Azad,Madan,8227776014,2013-05-14,ACTIVE,234
235,ASHA0235,Aradhana,Toor,8130237453,2012-04-29,ACTIVE,235
236,ASHA0236,Siya,Singhal,8460461670,2023-04-12,INACTIVE,236
237,ASHA0237,Ikshita,Kale,8199448177,2023-06-25,ACTIVE,237
238,ASHA0238,Gavin,Shah,8555451123,2023-02-04,ACTIVE,238
239,ASHA0239,Gopal,Sharma,8303811639,2015-08-08,ACTIVE,239
240,ASHA0240,Maanav,Narula,8486616682,2022-09-01,ACTIVE,240
241,ASHA0241,Upadhriti,Sibal,8173534738,2017-10-18,ACTIVE,241
242,ASHA0242,Chasmum,Rana,8165377323,2014-02-06,ACTIVE,242
243,ASHA0243,Tanvi,Kashyap,8590035975,2014-05-21,TRANSFERRED,243
244,ASHA0244,Vincent,Desai,8632955611,2022-12-03,ACTIVE,244
245,ASHA0245,Unnati,Swaminathan,8775313337,2019-05-28,ACTIVE,245
246,ASHA0246,Gaurangi,Tripathi,8830278660,2020-03-05,ACTIVE,246
247,ASHA0247,Triveni,Bala,8608825886,2015-09-23,ACTIVE,247
248,ASHA0248,Eshana,Goda,8785861508,2020-08-10,INACTIVE,248
249,ASHA0249,Laban,Kant,8501302930,2018-02-05,ACTIVE,249
250,ASHA0250,Leena,Sani,8836448983,2013-08-26,ACTIVE,250
251,ASHA0251,Vamakshi,Sinha,8437302785,2015-02-19,ACTIVE,251
252,ASHA0252,Shivansh,Varkey,8170178198,2017-06-20,ACTIVE,252
253,ASHA0253,Qabil,Parikh,8846714225,2024-01-08,ACTIVE,253
254,ASHA0254,Oscar,Kothari,8734132559,2019-04-18,ACTIVE,254
255,ASHA0255,Quincy,Gara,8744356632,2022-01-16,ACTIVE,255
256,ASHA0256,Gauri,Chadha,8750389149,2011-11-12,ACTIVE,256
257,ASHA0257,Aarush,Tripathi,8543031115,2012-12-10,ACTIVE,257
258,ASHA0258,Daksha,Sangha,8110349261,2017-11-04,ACTIVE,258
259,ASHA0259,Gaurika,Malhotra,8351912810,2020-05-15,ACTIVE,259
260,ASHA0260,Oeshi,Chahal,8507443146,2022-02-13,ACTIVE,260
261,ASHA0261,Eiravati,Dash,8647251037,2020-12-02,TRANSFERRED,261
262,ASHA0262,Faras,Sheth,8929719198,2017-10-06,TRANSFERRED,262
263,ASHA0263,Yauvani,Karnik,8427912925,2019-02-12,TRANSFERRED,263
264,ASHA0264,Madhavi,Kohli,8558083602,2017-09-29,INACTIVE,264
265,ASHA0265,Widisha,Hora,8185319889,2013-03-15,ACTIVE,265
266,ASHA0266,Bishakha,Gola,8649894985,2012-06-01,INACTIVE,266
267,ASHA0267,Oliver,Kant,8478363512,2020-08-11,ACTIVE,267
268,ASHA0268,Jagrati,Vora,8643078827,2017-03-26,ACTIVE,268
269,ASHA0269,Bhavya,Sridhar,8787901931,2022-09-13,ACTIVE,269
270,ASHA0270,Ishita,Vora,8574115252,2023-05-15,ACTIVE,270
271,ASHA0271,Ishani,Dhingra,8967820513,2013-09-22,ACTIVE,271
272,ASHA0272,Tanish,Bali,8561619432,2023-04-06,RETIRED,272
273,ASHA0273,Gautam,Thaker,8967142446,2016-09-25,INACTIVE,273
274,ASHA0274,Ishanvi,Dara,8350189741,2019-10-27,ACTIVE,274
275,ASHA0275,Aashi,Dave,8831855920,2012-07-13,ACTIVE,275
276,ASHA0276,Suhani,Sanghvi,8909755870,2023-08-06,ACTIVE,276
277,ASHA0277,Balvan,Ram,8187466199,2015-10-22,INACTIVE,277
278,ASHA0278,Advay,Borde,8928501219,2022-12-28,ACTIVE,278
279,ASHA0279,Avni,Comar,8209852375,2022-07-07,ACTIVE,279
280,ASHA0280,Onveer,Banik,8355753885,2012-07-29,ACTIVE,280
281,ASHA0281,Tanmayi,Sha,8733093976,2022-10-01,ACTIVE,281
282,ASHA0282,Vedika,Hora,8927239297,2015-12-11,ACTIVE,282
283,ASHA0283,Gunbir,Natarajan,8744039622,2020-04-30,ACTIVE,283
284,ASHA0284,Brijesh,Seshadri,8518736713,2017-05-04,ACTIVE,284
285,ASHA0285,Rehaan,Chahal,8669282417,2020-01-17,ACTIVE,285
286,ASHA0286,Ekaja,Shan,8469963590,2018-07-28,ACTIVE,286
287,ASHA0287,Rachita,Mammen,8917654534,2020-12-25,ACTIVE,287
288,ASHA0288,Alexander,Uppal,8625491267,2021-08-21,ACTIVE,288
289,ASHA0289,Ubika,Chauhan,8993286034,2023-08-17,ACTIVE,289
290,ASHA0290,Lakshmi,Bora,8425957461,2017-12-15,ACTIVE,290
291,ASHA0291,Balendra,Iyer,8865065859,2013-11-10,ACTIVE,291
292,ASHA0292,Shivansh,Bawa,8277692549,2025-05-04,ACTIVE,292
293,ASHA0293,Upadhriti,Prabhakar,8272264574,2025-01-22,ACTIVE,293
294,ASHA0294,Simon,Dayal,8326241403,2012-10-06,ACTIVE,294
295,ASHA0295,Xalak,Jhaveri,8679659863,2011-07-18,ACTIVE,295
296,ASHA0296,Nihal,Bhatnagar,8888891964,2022-09-21,TRANSFERRED,296
297,ASHA0297,Manan,Bhat,8459616578,2012-05-09,ACTIVE,297
298,ASHA0298,Dakshesh,Chaudry,8398871178,2017-09-28,ACTIVE,298
299,ASHA0299,Yashasvi,Murthy,8701695200,2019-04-11,ACTIVE,299
300,ASHA0300,Reyansh,Walla,8155383793,2015-08-27,ACTIVE,300
301,ASHA0301,Ishani,Anand,8219645475,2012-05-21,ACTIVE,301
302,ASHA0302,Ubika,Buch,8307046289,2013-08-04,ACTIVE,302
303,ASHA0303,Kritika,Murty,8578005902,2013-01-04,ACTIVE,303
304,ASHA0304,Laksh,Zacharia,8221808099,2012-06-04,INACTIVE,304
305,ASHA0305,Alka,Iyer,8441564381,2020-04-20,RETIRED,305
306,ASHA0306,Peter,Hari,8198014913,2013-11-15,ACTIVE,306
307,ASHA0307,Aayush,Vaidya,8554931464,2013-05-28,ACTIVE,307
308,ASHA0308,Edhitha,Anne,8261743181,2020-09-07,INACTIVE,308
309,ASHA0309,Onveer,Keer,8759776594,2016-09-28,ACTIVE,309
310,ASHA0310,Dayamai,Chauhan,8396076415,2015-03-16,ACTIVE,310
311,ASHA0311,Jeet,Aggarwal,8915988286,2021-11-10,ACTIVE,311
312,ASHA0312,Tanay,Chopra,8286334787,2022-08-31,ACTIVE,312
313,ASHA0313,Wridesh,Gala,8249748798,2015-03-16,ACTIVE,313
314,ASHA0314,Orinder,Patil,8225759462,2016-08-14,ACTIVE,314
315,ASHA0315,Kritika,Dada,8379611920,2018-09-14,RETIRED,315
316,ASHA0316,Adya,Patla,8413400622,2015-10-02,ACTIVE,316
317,ASHA0317,Maya,Chaudhry,8781098308,2013-02-26,ACTIVE,317
318,ASHA0318,Omaja,Bhargava,8122477858,2024-03-04,ACTIVE,318
319,ASHA0319,Ati,Bhatti,8298042124,2014-05-19,ACTIVE,319
320,ASHA0320,Deepa,Dara,8209334944,2011-08-09,ACTIVE,320
321,ASHA0321,Jhalak,Wason,8743676238,2024-03-05,ACTIVE,321
322,ASHA0322,Vrishti,Tank,8698142098,2021-12-01,ACTIVE,322
323,ASHA0323,Watika,Sarna,8240527137,2016-05-16,ACTIVE,323
324,ASHA0324,Yashawini,Mann,8418377475,2017-03-13,ACTIVE,324
325,ASHA0325,Januja,Chana,8499402297,2014-12-04,ACTIVE,325
326,ASHA0326,Suhani,Mann,8491451268,2021-12-20,ACTIVE,326
327,ASHA0327,Victor,Gole,8825618511,2014-03-21,ACTIVE,327
328,ASHA0328,Rajeshri,Manda,8166732418,2018-07-10,ACTIVE,328
329,ASHA0329,Garima,Nagi,8719038951,2020-04-17,RETIRED,329
330,ASHA0330,Ekaraj,Swamy,8809227128,2019-12-12,ACTIVE,330
331,ASHA0331,Logan,Wali,8837236501,2015-08-14,ACTIVE,331
332,ASHA0332,Isaiah,Wason,8263856341,2017-01-01,RETIRED,332
333,ASHA0333,Xavier,Choudhry,8939566757,2013-04-10,ACTIVE,333
334,ASHA0334,Zaid,Shere,8660536119,2022-07-19,ACTIVE,334
335,ASHA0335,Jagrati,Gara,8235409247,2024-08-31,RETIRED,335
336,ASHA0336,Nachiket,Baria,8720566839,2012-01-26,ACTIVE,336
337,ASHA0337,Nidhi,Kar,8982587081,2018-07-16,ACTIVE,337
338,ASHA0338,Azaan,Bhat,8497794151,2024-01-17,ACTIVE,338
339,ASHA0339,Samesh,Nayak,8454039445,2020-06-16,ACTIVE,339
340,ASHA0340,Vritti,Wali,8830517223,2020-07-20,INACTIVE,340
341,ASHA0341,Omkaar,Luthra,8375575977,2025-05-09,ACTIVE,341
342,ASHA0342,Vinaya,Swaminathan,8410165397,2018-07-15,TRANSFERRED,342
343,ASHA0343,Yashodhara,Gopal,8166161352,2018-03-01,ACTIVE,343
344,ASHA0344,Lakshit,Palan,8468526129,2019-06-10,ACTIVE,344
345,ASHA0345,Pahal,Parmer,8793192418,2018-11-23,ACTIVE,345
346,ASHA0346,Zashil,Narain,8124871910,2021-11-04,ACTIVE,346
